snr,amplitude,peakFreq
9.779,1.01e-22,41.57
9.926,6.409999999999999e-23,1198.978
8.136000000000001,2.5600000000000003e-22,24.117
7.519,3.72e-22,20.592
10.305,9.059999999999999e-23,50.268
8.337,1.88e-22,27.308000000000003
301.074,1.13e-21,93.079
11.573,3.24e-22,25.507
34.295,4.980000000000001e-21,18.502
35.199,2.33e-21,20.963
8.45,5.29e-23,54.919
9.247,7.11e-23,39.789
18.889,1.4000000000000002e-22,39.789
8.934,1.3e-21,18.502
8.005,7.819999999999999e-23,1822.458
23.288,2.4400000000000002e-21,18.835
41.889,2.61e-21,21.34
9.465,1.83e-22,27.308000000000003
15.845,1.2e-22,39.789
8.301,6.53e-23,39.789
3422.186,2.6499999999999998e-20,39.789
39.701,1.73e-21,23.515
8.289,3.59e-23,496.982
1038.41,3.5e-21,269.285
7.83,1.23e-22,29.948
12.854,1.01e-22,39.789
9.437,2.46e-22,23.75
10.143,1.35e-21,18.835
9.602,6.359999999999999e-23,50.268
8.152999999999999,1.32e-22,30.734
8.542,5.74e-23,53.554
82.67200000000003,1.52e-21,31.594
9.531,6.909999999999999e-23,1349.3970000000004
8.076,1.86e-22,28.43
14.583,1.06e-22,1038.311
400.409,5.01e-21,32.173
11.074000000000002,5.859999999999999e-22,21.989
13.52,8.379999999999998e-23,49.208
8.007,2.1e-22,23.331
27.652,2.0900000000000002e-22,53.554
15.518,1.2100000000000002e-22,38.93
10.028,9.029999999999999e-23,1709.217
21.544,4.11e-22,28.43
8.163,3.2000000000000003e-23,70.623
17.361,2.6800000000000003e-22,27.393
8.318,1.3400000000000002e-22,30.288
7.996,9.029999999999999e-23,36.625
13.774,2.67e-21,21.724
9.019,5.24e-23,963.479
22.007,1.62e-22,39.789
1468.986,5.16e-21,115.113
13.059,2.560000000000001e-21,18.595
369.434,1.49e-21,93.079
7.575,2.120000000000001e-21,18.502
13.220999999999998,1.04e-22,39.789
13.648,2.780000000000001e-21,18.338
11.774,2.7900000000000003e-22,27.308000000000003
14.714,1.1599999999999998e-22,39.789
17.258,4.269999999999999e-22,25.048
8.119,9.6e-23,30.734
12.191,2.71e-22,25.056
12.639,9.54e-23,39.789
17.271,1.2800000000000001e-22,39.789
8.672,2.64e-22,24.802
7.598,1.85e-22,24.117
8.657,8.839999999999999e-23,32.173
7.853,5.74e-23,44.288
11.823,9.52e-23,39.789
8.037,6.019999999999999e-23,47.183
18.618,1.48e-22,39.789
22.966,1.84e-22,39.789
22.619,4.850000000000001e-21,18.835
8.559,8.189999999999999e-23,41.57
8.006,8.240000000000002e-23,35.306
8.105,9.979999999999999e-23,30.734
7.6629999999999985,2.4700000000000002e-21,18.391
10.627,2.07e-22,26.685
28.093000000000004,2.22e-22,39.789
11.542,2.95e-22,27.308000000000003
15.574000000000002,9.07e-22,23.29
11.504,8.569999999999999e-23,39.789
74.76899999999998,8.700000000000001e-22,32.173
23.631,2.7e-21,18.667
30.945,2e-22,1198.978
7.675,1.94e-22,25.507
8.85,1.4100000000000001e-22,30.734
7.548999999999999,4.7e-22,22.115
8.122,1.83e-22,25.048
35.657,3.6100000000000005e-21,18.835
10.5,8.079999999999998e-23,39.789
11.059,9.029999999999999e-23,43.986
11.68,2.94e-22,27.308000000000003
9.348,8.139999999999999e-23,39.789
8.953,6.900000000000001e-23,1473.621
8.447000000000001,6.5e-23,39.789
7.502999999999999,2.2700000000000003e-22,24.316
16.908,1.3599999999999998e-22,39.789
48.918,2.04e-21,25.507
25.041,1.5600000000000002e-21,20.387
8.23,7.340000000000001e-23,39.789
11.654000000000002,3.4000000000000003e-22,24.613000000000003
9.526,1.3800000000000001e-22,33.054
7.778,2.14e-22,25.048
66.783,2.0600000000000002e-21,27.886
8.362,1.22e-22,28.755
8.78,1.07e-22,34.59
7.624,1.6000000000000002e-22,30.734
17.195999999999998,1.39e-22,39.789
17.093,2.12e-22,32.11
41.75100000000001,2e-21,20.963
12.469,9.089999999999999e-23,49.208
36.184,2.84e-22,39.789
29.039,3.03e-22,1743.312
10.775,6.16e-23,47.183
13.041,9.709999999999999e-23,39.789
21.739,1.56e-22,43.81399999999999
13.72,2.22e-22,28.388
14.693,1.06e-22,39.789
121.618,9.48e-22,39.789
11.897,1.22e-22,1923.649
7.624,4.77e-23,49.208
8.84,7.319999999999999e-23,39.789
8.193,6.890000000000001e-23,39.935
8.025,9.219999999999999e-23,32.723
10.59,1.77e-22,29.418000000000006
8.542,4e-22,22.739
9.181,4.1200000000000003e-22,24.264
9.488,2.15e-22,27.308000000000003
1661.049,1.34e-20,39.789
10.807,3.01e-22,27.308000000000003
9.442,2.2599999999999998e-20,12.252
18.584,2.07e-22,32.173
13.905,5.04e-22,25.048
9.333,5.869999999999999e-23,1119.088
7.687,2.8300000000000004e-23,142.363
169.77700000000004,6.6e-22,93.079
11.675,2.57e-22,23.959
11.554,9.079999999999999e-23,39.789
8.26,3.69e-20,10.996
14.213,8.569999999999999e-23,49.208
9.794,5.969999999999999e-23,49.208
10.903,5.09e-20,10.609000000000002
32.735,2.84e-22,39.02
16.733,3.3100000000000007e-22,26.433000000000003
9.327,9.65e-23,1901.031
8.062999999999999,2.620000000000001e-21,11.121
7.862,3.36e-23,73.502
10.056,6.6e-23,49.208
9.024,4.45e-23,60.857
23.014,9.359999999999999e-23,333.03
7.961,5.81e-23,39.789
178.567,6.52e-22,142.363
7.814,4.5399999999999993e-23,49.208
8.981,3.19e-22,24.264
24.02,5.52e-20,11.715
9.145,6.85e-23,41.57
8.442,6.81e-23,39.789
12.163,3.04e-22,24.178
8.337,3.060000000000001e-21,11.121
50.679,1.76e-21,25.507
12.863,2.21e-22,30.734
8.26,5.2099999999999996e-20,10.996
20.709,1.69e-22,39.789
7.8370000000000015,6.03e-23,38.93
19.832,2.32e-21,18.835
11.976,3.3400000000000007e-22,27.308000000000003
10.247,4.790000000000001e-21,11.121
12.524,4.77e-23,93.079
8.289,6.66e-23,39.789
7.504,3.2000000000000003e-22,20.963
8.855,2.89e-22,23.331
23.241,5.94e-22,24.264
11.7,2.73e-21,19.174
15.664,1.2e-22,39.789
9.364,4.01e-22,21.724
9.735,1.7600000000000002e-22,27.308000000000003
9.165,5.579999999999999e-23,49.208
34.626999999999995,2.3000000000000003e-22,49.208
7.684,5.050000000000001e-23,1198.978
20.896,1.85e-22,39.789
11.452,4.09e-23,217.741
8.243,4.6199999999999997e-23,49.208
13.208,1e-22,39.789
20.34,2.0200000000000003e-21,21.34
7.768,3.81e-22,21.724
9.244,1.9e-22,27.886
7.8279999999999985,9.729999999999999e-23,32.723
9.684,7.2e-23,39.789
7.901,1.48e-22,27.308000000000003
16.06,9.56e-23,49.208
9.327,1.74e-22,27.868
19.666,2.1e-22,32.173
12.734000000000002,4.9299999999999993e-23,70.623
21.285,3.8000000000000005e-21,18.502
17.771,1.5600000000000002e-21,20.592
11.871,3.27e-22,24.264
33.395,2.46e-22,39.789
15.286,9.209999999999999e-23,49.208
14.031,1.8700000000000002e-21,18.502
9.243,5.29e-22,22.739
8.887,4.02e-22,22.513
8.164,1.59e-22,26.685
10.509,8.220000000000002e-23,45.301
11.215,8.390000000000002e-23,39.789
7.76,5.88e-22,22.215
8.953,2.3000000000000003e-22,25.048
7.916,1.97e-22,24.264
8.767000000000001,6.590000000000001e-23,39.789
16.88,1.52e-22,36.625
16.419,1.2800000000000001e-22,39.789
9.253,7.859999999999999e-23,39.02
136.243,4.78e-22,142.363
8.822000000000003,1.07e-22,34.378
9.238,4.77e-22,21.724
14.399,3.67e-22,26.015
8.079,2.9e-22,22.739
9.429,1.26e-22,36.625
7.7570000000000014,3.19e-23,581.656
8.76,2.91e-22,24.264
8.461,2.64e-22,24.264
9.544,5.319999999999999e-23,50.268
10.52,7.769999999999999e-23,39.789
39.343,5.42e-22,30.687
8.991,2.22e-22,24.264
8.599,5.55e-23,50.268
11.357,1.2600000000000002e-21,18.595
9.452,5.74e-20,11.139
8.334,2.41e-22,24.264
8.675,1.32e-22,31.386
11.698,9.069999999999999e-23,39.789
1380.865,4.95e-21,176.063
41.23,3.09e-22,39.789
19.938,4.819999999999999e-22,24.264
620.758,2.0500000000000003e-21,217.741
7.79,4.07e-22,22.513
8.916,8.93e-23,34.59
8.852,9.55e-23,32.173
7.532,1.74e-22,27.308000000000003
21.658,1.91e-21,21.34
8.737,7.659999999999998e-23,37.349
15.108,1.2500000000000001e-22,39.789
7.782,8.02e-22,21.595
47.725,4.2e-19,10.874
9.877,3.99e-23,75.263
9.244,1.81e-22,23.959
7.62,5.929999999999999e-23,38.423
64.862,2.55e-22,269.285
8.376,6.66e-23,1473.621
8.757,4.26e-23,60.857
7.64,3.82e-22,24.264
15.408,1.18e-22,39.789
12.864,5.28e-22,23.511
7.643,5.79e-23,39.789
8.071,2.2700000000000003e-22,23.511
39.48,3.3e-22,39.789
12.957,1.2899999999999998e-22,34.59
11.783,1.13e-22,1838.345
9.024,1.6700000000000006e-21,18.835
13.142,8.76e-23,39.789
19.18,1.39e-22,39.789
7.685,2.0600000000000001e-22,24.264
39.941,4.13e-21,19.229
32.541,4.14e-21,19.344
10.644,6.669999999999999e-23,1191.555
21.045,1.9e-22,34.59
8.884,6.82e-22,21.559
9.122,6.770000000000001e-23,39.789
8.853,2.48e-22,23.331
8.2,1.7600000000000002e-22,26.89
10.859000000000002,9.709999999999999e-23,39.02
10.762,7.119999999999999e-23,50.268
9.902,8.990000000000001e-23,39.789
53.809,4.07e-22,39.789
62.474,1.900000000000001e-21,31.594
22.977,1.1400000000000001e-21,22.639
11.102,9.25e-22,19.443
39.541,3.16e-22,39.789
8.486,2.44e-22,25.048
8.769,3.0200000000000002e-22,24.264
8.98,4.269999999999999e-22,22.739
7.66,5.360000000000001e-23,43.81399999999999
26.19400000000001,1.92e-22,39.789
10.725,4.14e-23,411.865
12.635,3.8600000000000003e-22,23.515
2351.211,1.45e-20,49.208
92.05,2.54e-21,23.953000000000007
21.576,1.73e-22,39.789
7.769,5.880000000000001e-23,1349.3970000000004
8.346,3.93e-22,20.963
8.25,4.680000000000001e-23,50.268
9.757,5.07e-22,25.048
9.479,1.5600000000000002e-21,18.175
7.588999999999999,5.889999999999999e-23,39.789
11.769,1.47e-19,10.609000000000002
9.678,1.53e-22,30.734
191.97,6.87e-22,142.363
9.699,7.8e-23,39.789
25.525,1.4800000000000002e-21,25.966
9.868,3.2000000000000003e-22,24.264
52.67,4.32e-21,20.228
9.912,1.59e-22,28.43
8.505,3.15e-20,12.481
8.93,3.8e-22,21.34
7.838999999999999,8.469999999999999e-23,34.59
18.41,1.0900000000000001e-21,26.909
14.49,5.59e-23,70.623
12.69,4.879999999999999e-22,23.515
8.408999999999999,3.4200000000000004e-20,12.435
8.774,6.27e-23,39.789
98.771,4.14e-22,629.939
10.405,1.04e-22,34.59
10.011,1.26e-22,32.268
11.084,2.5900000000000003e-22,25.056
8.012,1.44e-22,32.268
2105.077,2.85e-20,32.173
8.38,5.339999999999999e-22,21.724
7.882999999999999,2e-21,18.502
224.392,7.819999999999998e-22,269.285
8.035,4.09e-23,60.857
16.656,5.32e-20,12.393
7.6320000000000014,4.3399999999999996e-23,57.055
10.334,7.839999999999999e-23,39.789
30.103,2.39e-22,39.789
7.581,5.96e-22,22.115
15.800999999999998,2.63e-22,26.433000000000003
20.657,2.08e-21,22.739
12.173,3.39e-22,24.264
10.141,6.359999999999999e-23,49.208
7.816,7.16e-23,1822.458
32.467,1.73e-21,23.959
10.682,1.7099999999999996e-22,27.308000000000003
8.921,3.770000000000001e-23,68.992
13.231,1.2100000000000002e-22,44.288
7.676,4.1800000000000003e-22,21.559
54.165,3.53e-21,20.592
10.129,1.1400000000000002e-22,36.625
204.124,6.81e-22,269.285
11.314,9.04e-23,39.789
10.944,8.91e-23,47.183
10.363,1.76e-21,27.886
13.037,6.8000000000000025e-22,21.261
47.649,3.68e-22,39.789
8.299,2.99e-22,24.264
30.911,3.64e-22,32.173
25.678,1.97e-22,49.208
7.559,1.1e-22,30.734
13.155,2.77e-22,25.507
9.452,5.969999999999999e-23,49.208
20.994,3.5000000000000005e-22,26.433000000000003
17.726,2.2400000000000003e-21,18.595
9.543,3.35e-22,26.89
14.305,2.71e-22,25.507
16.859,9.289999999999999e-23,49.208
21.643,1.7e-21,20.563
7.723,2.72e-22,24.264
25.05,3.65e-21,18.502
9.497,1.1599999999999998e-22,32.268
1357.177,5.96e-21,115.113
13.587,1.05e-22,39.789
8.163,5.869999999999999e-23,39.789
1222.552,4.51e-21,142.363
70.061,8.65e-22,32.173
7.707999999999998,7.229999999999999e-23,1822.458
12.025,2.0500000000000003e-21,19.519
15.062,1.7700000000000003e-21,18.835
8.068999999999999,9.069999999999999e-23,32.173
8.748,2.07e-22,24.316
8.446,4.7999999999999993e-23,58.396
9.528,8.979999999999999e-23,1542.349
150.31799999999996,3.340000000000001e-21,25.966
9.831,3.4200000000000005e-21,11.121
11.338,1.1599999999999998e-22,32.173
9.125,5.62e-23,1065.326
7.622999999999998,7.749999999999999e-23,50.268
19.088,2.120000000000001e-21,19.871
21.765,2.39e-22,36.625
11.004,2.4200000000000003e-22,26.003
9.941,5.649999999999999e-23,57.055
10.95,7.240000000000001e-23,47.183
8.477,4.0699999999999996e-23,50.847
11.265999999999998,6.609999999999999e-23,49.208
11.252,6.819999999999999e-23,49.208
8.456,4.02e-22,24.264
8.404,8.09e-23,1607.6
48.098,1.24e-21,24.316
16.77,1.3599999999999998e-22,38.027
12.18,1.13e-22,37.495
8.06,6.279999999999999e-23,38.93
19.286,4.07e-22,25.507
25.356,2.750000000000001e-21,19.229
10.38,3.3100000000000007e-22,23.515
10.12,1.87e-22,26.685
9.029,2.02e-22,25.048
8.302,6.619999999999999e-23,39.789
13.433,6.909999999999999e-23,60.857
16.89,1.2800000000000001e-22,39.789
9.031,1.3800000000000004e-21,18.595
12.046,3.36e-22,23.331
14.87,2.12e-22,34.378
8.535,3.4300000000000013e-22,23.511
16.097,2.5300000000000003e-22,28.898000000000003
7.616,6.010000000000001e-23,39.789
7.76,6.070000000000001e-23,39.789
9.242,5.73e-23,49.208
9.499,2.64e-22,23.959
9.325,3.64e-22,21.34
13.106,6.469999999999999e-23,60.857
10.054,9.61e-23,1709.217
8.939,9.56e-23,41.57
9.977,1.27e-21,18.835
8.752,7.039999999999999e-23,38.93
12.564,9.209999999999999e-23,39.789
7.695,4.89e-23,1198.978
9.547,2.71e-20,12.277
10.221,5.61e-23,946.572
8.555,8.969999999999999e-23,32.173
35.12,1.2e-21,25.966
7.587999999999999,6.729999999999999e-23,1709.217
1846.825,1.4799999999999998e-20,39.789
8.052,3.2000000000000003e-22,22.513
7.739,1.62e-22,25.048
15.783,4.58e-22,25.048
21.576,1.3400000000000002e-22,49.208
7.7360000000000015,3.3100000000000007e-22,21.264
13.862,5.470000000000001e-23,70.623
9.98,2.08e-22,25.507
10.561,2.08e-22,25.507
10.74,8.4e-23,44.288
9.622,1.62e-22,26.685
9.807,1.9300000000000001e-22,27.308000000000003
28.593000000000004,9.66e-23,217.741
7.944,1.15e-22,31.809
11.637,9.339999999999999e-23,39.789
17.264,1.2500000000000001e-22,39.789
14.387,1.1400000000000002e-22,39.789
7.961,2.780000000000001e-21,11.121
13.408,8.009999999999998e-23,57.055
555.128,3.4900000000000005e-21,49.208
25.233,1.3600000000000001e-21,23.331
12.495,8.159999999999998e-23,1198.978
16.579,3.5000000000000005e-22,29.773000000000003
18.112,1.7099999999999996e-22,1743.312
60.338,2.37e-22,411.865
13.015999999999998,1.6700000000000006e-21,18.835
17.932000000000006,1.7899999999999993e-21,19.229
7.585,1.4000000000000002e-22,30.734
10.065,1.1e-22,1745.6570000000004
726.169,1.3899999999999998e-20,26.015
7.506,5.369999999999999e-23,55.497
11.292,1.7799999999999996e-22,41.285
16.046,2.1900000000000004e-22,32.741
8.198,8.1e-23,32.173
8.408,4.39e-23,53.554
9.95,8.139999999999999e-23,39.789
16.8,1.8700000000000002e-21,24.613000000000003
9.75,4.76e-23,58.396
20.202,3.700000000000001e-22,28.43
10.067,6.400000000000001e-23,1198.978
8.572000000000001,8.240000000000002e-23,1857.276
36.28,1.43e-22,93.079
11.288,4.42e-22,23.511
17.382,1.33e-22,39.789
8.884,1.01e-22,33.347
17.227999999999998,2.15e-22,1910.433
8.062000000000001,6.250000000000001e-23,39.789
8.514,2.5600000000000003e-22,22.918000000000006
8.013,3.36e-22,23.515
14.819,2.71e-22,28.43
8.195,6.83e-23,57.055
63.757,4.92e-22,39.789
8.49,7.119999999999999e-23,39.789
15.302,7.259999999999999e-23,60.857
37.705,2.43e-22,49.208
31.887,9.78e-22,29.418000000000006
7.95,3.58e-21,11.121
484.854,5.990000000000001e-21,32.173
10.203,1.47e-22,55.537
75.37100000000002,7.87e-22,32.173
12.984000000000002,2.11e-22,32.268
7.558,1.85e-20,12.966
37.916,2.88e-22,39.789
15.048,2.08e-22,28.898000000000003
10.129,9.379999999999999e-23,1709.217
17.195,1.7600000000000002e-22,32.173
9.468,7.46e-23,38.93
8.413,1.17e-22,32.268
7.507999999999999,9.96e-23,32.173
1620.729,1.43e-20,38.027
693.846,2.340000000000001e-21,176.063
7.649,5.14e-23,47.183
63.50100000000001,9.63e-22,28.133000000000006
45.25100000000001,2.4900000000000004e-21,24.613000000000003
7.979,1.4100000000000001e-22,27.308000000000003
8.408,4.09e-23,68.992
1330.0079999999996,1.1200000000000002e-20,38.027
10.042,6.290000000000001e-23,49.208
13.334,7.539999999999999e-22,20.714
7.977,1.42e-22,27.886
9.556,2.03e-22,27.308000000000003
7.706,2.7e-21,11.121
11.106,4.359999999999999e-22,23.515
8.292,2.86e-22,22.215
8.911,6.359999999999999e-23,39.789
10.176,2.41e-22,26.433000000000003
9.252,5.5e-23,49.208
14.264,1.2e-22,35.291
12.387,2.53e-20,12.722
17.337,1.32e-22,39.789
14.959,3.59e-22,27.308000000000003
14.249,9.52e-23,1270.186
18.61,2.7400000000000004e-21,18.502
10.227,9.24e-22,24.178
71.441,1.6400000000000005e-21,26.583
397.333,1.4700000000000001e-21,89.676
9.436,5.770000000000001e-23,49.208
7.9860000000000015,3.67e-22,24.264
10.677,8.589999999999999e-23,39.789
9.433,2.7600000000000002e-22,23.071
9.657,5.969999999999999e-23,48.249
7.591,1.95e-22,24.264
10.363,2.29e-22,27.308000000000003
10.386,1.53e-22,33.054
8.479,1.1599999999999998e-22,34.59
16.91,2.18e-22,35.291
25.542,1.7099999999999996e-22,49.208
12.862,1.33e-22,34.378
8.062000000000001,7.469999999999999e-23,38.027
16.590999999999998,1.41e-21,19.871
22.772,3.0200000000000004e-21,18.835
16.791,2.05e-22,1978.692
8.731,2.11e-22,27.308000000000003
31.088,3.7e-21,19.871
9.78,5.689999999999999e-23,47.183
9.459,3.13e-22,23.511
15.351,3.3e-22,30.734
10.101,7.33e-23,39.789
8.329,2.5300000000000003e-22,22.739
13.692,3.93e-22,23.511
12.332,8.429999999999999e-23,49.208
12.066,3.2000000000000003e-22,23.331
8.888,2.51e-20,12.722
10.258,8.419999999999999e-23,39.789
13.077,1.89e-21,19.229
19.009,1.89e-21,19.519
72.127,9e-19,10.515999999999998
25.871,1.05e-21,25.507
9.22,8.049999999999999e-23,39.789
8.119,6.37e-23,38.93
9.48,3.73e-22,23.959
9.586,7.97e-22,21.724
9.068,1.26e-22,28.755
767.7610000000002,8.449999999999998e-21,32.173
50.722,2.95e-21,20.963
7.615,6.03e-23,49.208
34.274,1.27e-22,115.113
171.862,6.83e-22,142.363
23.831,1.8000000000000001e-22,39.789
15.887,3.28e-22,25.056
8.656,1.35e-22,27.308000000000003
18.253,1.47e-22,39.789
11.713,1.86e-22,31.213
11.875,9.059999999999999e-23,39.789
46.085,5.87e-22,30.687
20.743,2.64e-22,32.268
18.219,2.48e-22,28.43
12.436,9.239999999999999e-23,39.789
9.936,2.04e-20,12.252
25.057,4.47e-21,19.003
8.099,8.37e-23,1978.692
12.258,5.23e-22,24.264
39.952,1.41e-21,28.388
45.918,1.85e-21,27.393
7.673999999999999,4.64e-23,49.208
804.549,6.1e-21,39.789
8.947000000000003,4.51e-23,64.758
9.991,3.56e-22,24.264
11.482,4.7999999999999993e-23,70.623
8.05,3.42e-22,22.739
7.891,2.05e-22,24.264
14.876,1.24e-22,39.789
7.615,6.46e-23,39.789
11.879,1.2800000000000001e-22,32.173
7.725,6.27e-23,1473.621
7.974,1.74e-22,25.146
9.032,7.559999999999998e-23,39.789
13.701,1.88e-22,30.734
2207.975,2.05e-20,39.789
8.902000000000003,1.4100000000000001e-22,30.734
10.934,6.649999999999999e-23,49.208
27.633000000000006,3.5400000000000006e-21,18.667
9.634,2.88e-22,22.739
10.709,3.8300000000000002e-22,25.056
17.099,1.4700000000000001e-21,20.592
17.417,1.27e-22,49.208
8.585,3.47e-22,21.34
9.007,3.15e-22,22.068
8.101,2.0600000000000001e-22,24.264
9.305,2.3300000000000003e-22,23.331
8.461,2.26e-22,26.909
13.439,8.749999999999999e-23,49.208
9.085,1.08e-22,32.415
8.407,7.070000000000002e-23,1607.6
10.115,2.96e-22,24.264
23.293000000000006,3.65e-22,30.288
9.987,2.32e-22,27.308000000000003
7.978,5.2e-23,1188.825
8.65,6.779999999999999e-23,39.789
10.351,6.539999999999999e-23,49.208
99.825,2.780000000000001e-21,22.918000000000006
7.685,3.23e-22,23.511
7.568,2.66e-22,24.264
17.067,1.37e-22,39.789
10.691,7.700000000000002e-23,47.183
23.32,1.82e-22,39.789
9.044,1.5000000000000002e-22,28.43
7.776,5.44e-23,1349.3970000000004
21.448,8.040000000000001e-23,93.079
10.316,3.21e-22,27.308000000000003
487.298,5.5700000000000004e-21,32.173
30.092,3.07e-22,1636.34
9.265,2.69e-22,24.264
6480.413000000001,2.32e-20,269.285
17.111,1.2500000000000001e-22,39.789
12.769,1.02e-22,39.789
4089.209,4.64e-20,32.173
12.955,1.6200000000000002e-21,19.229
8.878,3.1499999999999995e-23,411.865
8.207,2.8200000000000007e-22,23.515
9.275,7.13e-23,39.789
7.8889999999999985,2.67e-22,23.511
10.107,6.37e-23,60.857
39.988,2.44e-22,49.208
366.68,1.1700000000000001e-21,217.741
22.075,5.42e-22,24.264
9.071,2.29e-22,24.882
9.154,5.41e-22,21.392
19.348,1.52e-22,39.789
10.447,1.42e-22,30.734
6580.009,2.52e-20,333.03
12.936,1.0300000000000001e-22,39.789
14.821,1.55e-22,1857.276
2036.837,1.74e-20,38.027
10.764,8.3e-23,39.789
7.525,2.1e-22,24.178
29.026,2.2700000000000003e-22,39.789
8.74,1.52e-22,27.308000000000003
9.419,6.27e-23,49.208
8.367,5.0600000000000005e-22,22.639
11.428,2.2800000000000004e-22,25.966
8.982000000000003,2.5000000000000002e-22,27.308000000000003
23.224,2.0600000000000002e-21,24.178
110.162,1.32e-21,42.028
8.092,1.17e-22,32.173
13.447,3.75e-22,24.264
22.477,1.74e-22,39.789
28.362,5.82e-22,26.015
73.39699999999998,2.54e-22,324.754
10.511,1.04e-22,34.59
42.363,5.7999999999999984e-21,18.835
34.292,1.11e-22,269.285
22.171,3.13e-22,30.687
9.296,5.539999999999999e-23,1065.326
30.239,1.07e-22,142.363
10.727,8.319999999999999e-23,39.789
11.731,1.2899999999999998e-22,34.59
9.424,3.2000000000000003e-23,115.113
7.887,3.51e-22,22.739
9.288,6.27e-23,47.183
10.288,1.17e-22,32.173
7.871,1.9e-22,26.003
7.595,1.0300000000000001e-21,18.595
29.084,2.16e-22,39.789
7.834,6.039999999999999e-23,39.789
44.621,2.32e-22,60.857
50.643,2.03e-22,411.865
10.800999999999998,8.529999999999998e-23,39.789
8.49,6.890000000000001e-23,1270.186
30.921,1.77e-22,49.208
13.311,3.45e-22,23.331
7.914,1.79e-22,25.048
10.414,1.91e-22,27.308000000000003
7.7879999999999985,4.33e-22,22.068
9.791,9.39e-23,36.625
7.667999999999998,7.859999999999999e-23,32.173
53.003,1.8700000000000002e-21,25.056
14.537,9.48e-22,26.003
8.296,5.0799999999999994e-23,1050.42
10.593,6.38e-23,62.459
8.58,1.35e-22,27.308000000000003
8.152000000000001,8.059999999999999e-23,38.93
8.951,1.61e-22,30.734
58.62300000000001,2.3000000000000003e-22,269.285
12.738,2.15e-22,26.909
11.533,9.89e-23,39.789
8.763,6.709999999999999e-23,1473.621
7.627999999999999,4.7899999999999993e-23,57.055
26.772,1.66e-22,49.208
233.7,2.64e-21,32.173
8.036,2.04e-22,28.388
7.822,1.5100000000000002e-20,12.951
96.597,2.1e-21,29.948
7.707999999999998,3.48e-22,22.068
21.8,8.040000000000001e-23,217.741
25.89,2.38e-21,22.918000000000006
7.548999999999999,8.4e-23,32.173
9.027,4.400000000000001e-23,60.857
7.641,2.98e-22,24.264
25.758000000000006,2.57e-21,19.463
9.636,3.95e-22,22.513
8.721,8.63e-23,44.288
21.11,3.65e-22,28.43
12.6,7.949999999999999e-23,49.208
12.708,2.41e-22,25.966
25.823,1.46e-21,20.563
440.828,1.54e-21,176.063
15.335,9.769999999999999e-23,49.208
311.708,1.1400000000000001e-21,142.363
157.703,2.14e-21,35.162
21.578000000000007,1.66e-22,510.439
17.785999999999994,1.35e-22,39.789
9.457,7.35e-23,47.298
12.086,9.069999999999999e-23,39.789
1009.549,1.2e-20,32.173
13.645,1.1200000000000002e-21,19.229
85.00299999999999,1.3800000000000004e-21,32.162
8.09,7.949999999999999e-23,1857.276
19.632,2.6e-21,19.174
9.195,1.6100000000000001e-21,18.595
8.442,8.709999999999999e-23,33.93
12.303,9.63e-23,39.789
12.594,3.22e-22,23.75
12.311,2.85e-22,24.178
8.449,1.35e-22,27.308000000000003
